"name","street","city","zip","email"
"Obecný úrad Vechec","Hlavná 133","Vechec",9412,"ocuvechec@stonline.sk"
"Obecný úrad Predajná","Nám. Juraja Pejku 67","Predajná",97663,"obecpredajna@stonline.sk"
"Obecný úrad Blatné Remety","č. 26","Blatné Remety",7244,"blremety@gmail.com"
"Obecný úrad Mníšek nad Popradom","č. 126","Mníšek nad Popradom",6522,"obecmnp@stonline.sk"
"Matrika Dvorníky","č. 428","Dvorníky",92056,"obecdvorniky@stonline.sk"
"Matrika Bardoňovo",,"Bardoňovo",94149,"oubaracka@nextra.sk"
"Obecný úrad Hendrichovce","č. 72","Hendrichovce",8235,"obec@hendrichovce.sk"
"Obecný úrad Jánovce","č. 248","Jánovce",5913,"janovce@stonline.sk"
"Obecný úrad Vyšné nad Hronom","č. 50","Vyšné nad Hronom",93531,"obec.vysnenadhronom@stonline.sk"
"Matrika Dvory nad Žitavou","Hlavné nám. 6","Dvory nad Žitavou",94131,"ocudvory@stonline.sk"
"Mestský úrad Martin","Nám. S. H. Vajanského 1","Martin",3649,"mesto@martin.sk"
"Obecný úrad Nové Sady","č. 201","Nové Sady",95124,"novesady@stonline.sk"
"Matrika Hul","č. 435","Hul",94144,"ouhul@centrum.sk"
"Obecný úrad Tisinec","č. 1","Tisinec",9101,"obec.tisinec@centrum.sk"
"Obecný úrad Kyjov","č. 164","Kyjov",6548,"obec@obeckyjov.sk"
"Obecný úrad Proč","č. 103","Proč",8214,"obec.proc@pobox.sk, obec.proc@szm.sk"
"Matrika Kolta","č. 1","Kolta",94133,"obeckolta@stonline.sk"
"Obecný úrad Kátov","č. 41","Kátov",90849,"ocu-katov@stonline.sk"
"Obecný úrad Večelkov","č. 156","Večelkov",98034,"vecelkov@gemer.org"
"Obecný úrad Slatina","č. 135","Slatina",93584,"slatina@stonline.sk"
"Obecný úrad Košťany nad Turcom","č. 64","Košťany nad Turcom",3841,"kostany@kostanynadturcom.sk, starosta@kostanynadturcom.sk"
"Obecný úrad Šemša","č. 116","Šemša",4421,"richtar@mail.t-com.sk"
"Obecný úrad Oravská Jasenica","č. 148","Oravská Jasenica",2964,"ouorjasenica@stonline.sk"
"Obecný úrad Domaňovce","č. 92","Domaňovce",5302,"domanovce@stonline.sk"
"Obecný úrad Lastovce","Hlavná 306","Lastovce",7614,"obeclastovce@mail.t-com.sk"
"Obecný úrad Rapovce","Hlavná 99","Rapovce",98531,"i-dom.rapovce@stonline.sk"
"Obecný úrad Víťaz","č. 111","Víťaz",8238,"obecvitaz@szm.sk"
"Obecný úrad Prestavlky","č. 226","Prestavlky",96601,"obecprestavlky@stonline.sk"
"Obecný úrad Čierny Balog","Závodie 2/2","Čierny Balog",97652,"ciernybalog@ciernybalog.sk, starosta@ciernybalog.sk"
"Obecný úrad Ruská Voľa nad Popradom","č. 2","Ruská Voľa nad Popradom",6542,"ruskavola@zoznam.sk"
"Úrad práce, sociálnych vecí a rodiny Košice IV (DP) - úsek služieb zamestnanosti","Žižkova 21","Košice - Juh",4001,"albert.harcar@upsvar.sk"
"Mestský úrad Dobšiná","SNP 554","Dobšiná",4925,"dobsina@dobsina.sk"
"Obecný úrad Horňa","č. 145","Horňa",7301,"horna@interdum.sk"
"Obecný úrad Karná","č. 110","Karná",6745,"obec@karna.gityposta.sk"
"Obecný úrad Zlatníky","č. 42","Zlatníky",95637,"ocuzlatniky@stonline.sk"
"Obecný úrad Podvysoká","č. 26","Podvysoká",2357,"obec@podvysoka.sk"
"Obecný úrad Trstice","č. 667","Trstice",92542,"obec@trstice.sk"
"Obecný úrad Ratka","č. 109","Ratka",98601,"ocu.ratka@stonline.sk"
"Obecný úrad Kováčovce","č. 52","Kováčovce",99106,"kovacovce@gonet.sk, jozef.filip@mail.t-com.sk"
"Obecný úrad Šajdíkove Humence","č. 48","Šajdíkove Humence",90607,"oushumence@stonline.sk"
"Obecný úrad Višňové","č. 553","Višňové",1323,"urad@visnove.sk"
"Obecný úrad Orechová Potôň","č. 281","Orechová Potôň",93002,"obec@orechovapoton.sk"
"Obecný úrad Veľké Turovce","č. 321","Veľké Turovce",93581,"obec.vturovce@wsystem.sk"
"Obecný úrad Pavlovce","č. 143","Pavlovce",9431,"obecpavlovce@mail.t-com.sk"
"Matrika Demandice  ","č. 236","Demandice  ",93585,"starosta@demandice.sk"
"Obecný úrad Čižatice","č. 66","Čižatice",4447,"obeccizatice@centrum.sk"
"Obecný úrad Kšinná","č. 102","Kšinná",95643,"obec.ksinna@post.sk"
"Obecný úrad Jalovec","č. 2","Jalovec",3221,"obecnyurad@jalovec.sk"
"Obecný úrad Príslop","č. 41","Príslop",6766,"obecprislop@stonline.sk"
"Obecný úrad Bodovce","č. 55","Bodovce",8266,"obecbodovce@wicom.sk"
"Obecný úrad Torysa","č. 28","Torysa",8276,"ou.torysa@stonline.sk"
"Obecný úrad Tuhár","č. 56","Tuhár",98512,"obectuhar@nextra.sk"
"Obecný úrad Veľký Biel","Železničná 76","Veľký Biel",90024,"obec@velkybiel.sk, starosta@velkybiel.sk"
"Matrika Veľký Lipník","č. 283","Veľký Lipník",6533,"ouvelkylipnik@stonline.sk"
"Obecný úrad Oravské Veselé","č. 374","Oravské Veselé",2962,"starosta.borak@oravskevesele.sk"
"Mestský úrad Vrútky","Matušovičovský rad 4","Vrútky",3861,"vrutky@vrutky.sk"
"Matrika Považská Bystrica","Centrum 1/1","Považská Bystrica",1701,"ovvs@pb.vs.sk"
"Obecný úrad Beniakovce","č. 44","Beniakovce",4442,"starosta@obecbeniakovce.sk, milan.rabatin@zoznam.sk"
"Miestny úrad Bratislava - Petržalka","Kutlíkova 17","Bratislava - Petržalka",85212,"petrzalka@petrzalka.sk"
"Obecný úrad Baka","č. 262","Baka",93004,"obecbaka@stonline.sk"
"Mestská knižnica Tornaľa","Hlavné nám. 1","Tornaľa",98201,"kniznica.tornala@mail.t-com.sk"
"Obecný úrad Včelince","č. 134","Včelince",98050,"ocuvcelince@stonline.sk"
"Obecný úrad Paňa","č. 26","Paňa",95105,"obec.pana@gmail.com"
"Obecný úrad Oreské","č. 7","Oreské",90863,"oreske@zoznam.sk"
"Matrika Vysoké Tatry","Starý Smokovec 1","Vysoké Tatry",6201,"eva.petrenkova@vysoketatry.sk "
"Matrika Vysoká nad Kysucou","Ústredie 215","Vysoká nad Kysucou",2355,"obecvysoka@stonline.sk"
"Mestská knižnica Dubnica nad Váhom","Pionierska 396","Dubnica nad Váhom",1841,"kniznica@dubnica.eu"
"Matrika Fiľakovo","Radničná 25","Fiľakovo",98601,"filakovo@isternet.sk"
"Obecný úrad Pataš","č. 87","Pataš",92901,"oupatas@stonline.sk"
"Matrika Dolný Kubín","Nám. P.O.Hviezdoslava 2","Dolný Kubín",2601,"primator@dolnykubin.sk"
"Matrika Malcov","Hlavná 130","Malcov",8606,"obecmalcov@mail.t-com.sk"
"Obecný úrad Kostolné Kračany","č. 149","Kostolné Kračany",93003,"kostolnekracany@nextra.sk"
"Obecný úrad Gortva","č. 138","Gortva",98002,"ougortva@stonline.sk"
"Obecný úrad Višňov","Hlavná 22","Višňov",7661,"obec.visnov@azet.sk"
"Obecný úrad Údol","č. 2","Údol",6545,"obecudol@stonline.sk"
"Mestský úrad Nové Mesto nad Váhom","Čsl. armády 1","Nové Mesto nad Váhom",91501,"primator@nove-mesto.sk"
"Obecný úrad Radošovce","č. 70","Radošovce",91930,"ouradosovce@mail.t-com.sk"
"Obecný úrad Oravský Podzámok","č. 61","Oravský Podzámok",2741,"obec-orpodzamok@bb.telecom.sk, starosta-podzamok@mail.t-com.sk"
"Matrika Rybany","č. 415","Rybany",95636,"obec@rybany.sk"
"Matrika ","Adlerova 2","Košice - Dargovských hrdinov",4022,"lumtzer@kosice-dh.sk"
"Obecný úrad Zámutov","č. 434","Zámutov",9415,"zamutov@zamutov.sk"
"Obecný úrad Malá Hradná","č. 150","Malá Hradná",95654,"obecmhradna@centrum.sk"
"Obecný úrad Medovarce","č. 59","Medovarce",96265,"olgasvarcova@zoznam.sk"
"Obecný úrad Kalinkovo","č. 211","Kalinkovo",90043,"obeckalinkovo@obeckalinkovo.sk"
"Matrika Ivánka pri Nitre","Novozámocká 326","Ivánka pri Nitre",95112,"obecivanka@pobox.sk"
"Obecný úrad Ivanice","č. 56","Ivanice",98042,"obec.ivanice@gemernet.sk"
"Obecný úrad Rožňavské Bystré","č. 163","Rožňavské Bystré",4931,"obec.roznavskebystre@stonline.sk"
"Obecný úrad Povrazník","č. 22","Povrazník",97655,"povraznik@povraznik.sk"
"Obecný úrad Uzovce","č. 136","Uzovce",8266,"ocuuzovce@wicom.sk"
"Mestský úrad Jelšava","Nám. republiky 499 ","Jelšava",4916,"primator@jelsava.sk"
"Matrika Doľany","č. 169","Doľany",90088,"obecnyurad@dolany.sk"
"Obecný úrad Bešeňová","Jánska 25","Bešeňová",3483,"besenova@besenova.sk"
"Matrika Breza","Grúnika 56","Breza",2953,"ocubreza@stonline.sk"
"Matrika Trávnik","č. 50","Trávnik",94618,"obec.stravnik@stonline.sk"
"Obecný úrad Záhor","č. 121","Záhor",7253,"ocu.zahor@lekosonline.sk"
"Obecný úrad Lúčky","č. 114","Lúčky",7234,"oculucky@pobox.sk"
"Obecný úrad Uhorská Ves","Stará 53","Uhorská Ves",3203,"obecuhorskaves@alconet.sk"
"Matrika Krušetnica","č. 79","Krušetnica",2954,"ocu.krusetnica@stonline.sk"
"Obecný úrad Levkuška","č. 31","Levkuška",98262,"obeclevkuska@stonline.sk"
"Obecný úrad Hoste","č. 93","Hoste",92545,"ouhoste@stonline.sk, cyril.spacinsky@obechoste.sk"
"Matrika Šaštín - Stráže","Alej 549","Šaštín - Stráže",90841,"sekretariat@msu-sastinstraze.sk"
"Obecný úrad Porúbka","č. 67","Porúbka",8646,"porubka@stonline.sk"
"Obecný úrad Čeľadince","č. 3","Čeľadince",95616,"celadince@stonline.sk"
"Obecný úrad Beluj","č. 43","Beluj",96901,"obecbeluj@zoznam.sk, juznesitnobeluj@stonline.sk"
"Obecný úrad Turčianky","č. 59","Turčianky",95844,"lumex@lumex.sk"
"Obecný úrad Pobedim","č. 435","Pobedim",91623,"obec.pobedim@pobedim.sk, starosta.pobedim@pobedim.sk"
"Obecný úrad Ostrý Grúň","č. 193","Ostrý Grúň",96677,"ogrun@stonline.sk"
"Obecný úrad Valice","č. 6","Valice",98252,"valice@gemer.org"
"Matrika Kostolište","Hlavná 66","Kostolište",90062,"obec.kostoliste@stonline.sk"
"Mestský úrad Senica","Štefánikova 1408/56","Senica",90501,"prednostka@msu.senica.sk"
"Obecný úrad Liptovská Štiavnica","č. 39","Liptovská Štiavnica",3401,"obec@liptovskastiavnica.sk"
"Matrika Margecany","Obchodná 7","Margecany",5501,"margecany@stonline.sk"
"Obecný úrad Kobyly","č. 57","Kobyly",8622,"kobyly@pobox.sk"
"Obecný úrad Olejníkov","č. 44","Olejníkov",8257,"ocuolejnikov@stonline.sk"
"Obecný úrad Oponice","č. 105","Oponice",95614,"obec.oponice@wircom.sk"
"Obecný úrad Gôtovany","č. 45","Gôtovany",3214,"fiacice@szm.sk"
"Matrika Oravský Podzámok","č. 61","Oravský Podzámok",2741,"obec-orpodzamok@bb.telecom.sk"
"Úrad práce, sociálnych vecí a rodiny Levice, vysunutré pracovisko Šahy","SNP 52","Šahy",93601,"valeria.solmosiova@upsvar.sk"
"Matrika Trnava","Trhová 3","Trnava",91771,"infoservis@trnava.sk"
"Obecný úrad Senohrad","č. 151","Senohrad",96243,"info@senohrad.sk, starostka@senohrad.sk"
"Obecný úrad Bušovce","č. 119","Bušovce",5993,"obec@busovce.sk"
"Obecný úrad Stráne pod Tatrami","č. 2","Stráne pod Tatrami",5976,"obecstrane@sinet.sk"
"Obecný úrad Ľudovítová","č. 21","Ľudovítová",95144,"obecnyuradludovitova@stonline.sk"
"Matrika Most pri Bratislave","č. 96","Most pri Bratislave",90046,"starosta@mostpribratislave.sk"
"Obecný úrad Háj","č. 112","Háj",4402,"ocuhaj@stonline.sk"
"Colný úrad Čierna nad Tisou, stanica","Komenského 15","Veľké Kapušany",7901,"scu5383@colnasprava.sk"
"Matrika Trenčianska Teplá","M. R. Štefánika 376/30","Trenčianska Teplá",91401,"obecnyurad@trencianskatepla.sk"
"Obecný úrad Šípkov","č. 141","Šípkov",95653,"sipkov@sipkov.sk"
"Obecný úrad Demandice","č. 236","Demandice",93585,"demandice@demandice.sk"
"Obecný úrad Gruzovce","č. 1","Gruzovce",6722,"gruzovce@zoznam.sk"
"Matrika Hlohovec","M. R. Štefánika 1","Hlohovec",92001,"msu@hlohovec.sk"
"Matrika Hrnčiarska Ves","č. 237","Hrnčiarska Ves",98013,"ouhrnves@stonline.sk"
"Obecný úrad Dlhé Pole","č. 249","Dlhé Pole",1332,"ou.dlhepole@stonline.sk, ou.dp@stonline.sk"
"Obecný úrad Veľké Borové","č. 88","Veľké Borové",2732,"velkeborove@stonline.sk"
"Obecný úrad Gočovo","č. 92","Gočovo",4924,"obec@gocovo.sk"
"Obecný úrad Blhovce","č. 157","Blhovce",98032,"obec.blhovce@stonline.sk"
"Obecný úrad Rudno","č. 94","Rudno",3822,"uradrudno@gaya.sk"
"Obecný úrad Voznica","č. 135","Voznica",96681,"obec.voznica@stonline.sk"
"Sociálna poisťovňa, pobočka Senica","Hollého 1219","Senica",90501,"senica@socpoist.sk"
"Obecný úrad Gemerček","č. 51","Gemerček",98031,"obugemercek@post.sk"
"Obecný úrad Vyšné Remety","č. 112","Vyšné Remety",7241,"vysneremety@lekosonline.sk"
"Obecný úrad Dvorníky - Včeláre","Dvorníky 4","Dvorníky - Včeláre",4402,"obecdvorniky@kid.sk"
"Obecný úrad Nová Lesná","Jána Stilla 75","Nová Lesná",5986,"starosta@novalesna.sk"
"Obecný úrad Lúky","č. 105","Lúky",2053,"starosta@obecluky.sk"
"Mestský úrad Leopoldov","Hlohovecká cesta 104/2","Leopoldov",92041,"mestoleopoldov@mail.t-com.sk"
"Úrad práce, sociálnych vecí a rodiny Rimavská Sobota, detašované pracovisko Bátka","Hlavná 160","Bátka",98021,"upsvr_rs@upsvar.sk"
"Obecný úrad Kusín","č. 130","Kusín",7232,"obeckusin@lekosonline.sk"
"Obecný úrad Nadlice","č. 39","Nadlice",95632,"ocunadlice@atlas.sk, starosta.nadlice@centrum.sk"
"Obecný úrad Hosťovce","č. 49","Hosťovce",95191,"hostovce@stonline.sk"
"Obecný úrad Rakovo","č. 8","Rakovo",3842,"ocurakovo@stonline.sk"
"Obecný úrad Vyšný Klátov","č. 131","Vyšný Klátov",4412,"ouvysnyklatov@eccenet.sk"
"Obecný úrad Helcmanovce","č. 161","Helcmanovce",5563,"helcmanovce@helcmanovce.sk"
"Obecný úrad Chrabrany","Mlynská 326/3","Chrabrany",95501,"chrabranyoblub@topolcany.net"
"Obecný úrad Fričkovce","č. 103","Fričkovce",8642,"obecfrickovce@szm.sk"
"Obecný úrad Varechovce","č. 60","Varechovce",9023,"hudakmilan@centrum.sk"
"Matrika Šarišské Bohdanovce","č. 87","Šarišské Bohdanovce",8205,"obecsarisbohdan@stonline.sk"
"Obecný úrad Ružiná","č. 102","Ružiná",98552,"oruzina@stonline.sk"
"Obecný úrad Lišov","č. 42","Lišov",96271,"lisov@lisov.sk"
"Obecný úrad Borský Mikuláš","Smuha 1","Borský Mikuláš",90877,"starosta@borskymikulas.sk"
"Obecný úrad Malý Lipník","č. 64","Malý Lipník",6546,"obecmalylipnik@stonline.sk"
"Obecný úrad Kosorín","č. 117","Kosorín",96624,"ou.kosorin@gmail.sk, ou.kosorin@gmail.com"
"Obecný úrad Ohrady","č. 267","Ohrady",93012,"ocuohrady@stonline.sk"
"Obecný úrad Brežany","č. 20","Brežany",8241,"obecbrezany@mail.t-com.sk"
"Matrika Liptovská Teplička","Štefana Garaja 398/16","Liptovská Teplička",5940,"ouliptteplicka@sinet.sk"
"Obecný úrad Nižný Klátov","Hlavná 1","Nižný Klátov",4412,"obec.n.klatov@stonline.sk,   obec.n.klatov@netkosice.sk"
"Obecný úrad Malý Krtíš","Družstevná 2","Malý Krtíš",99001,"malykrtis@stonline.sk"
"Obecný úrad Bátorová","č. 88","Bátorová",99126,"batorova@gmail.com"
"Obecný úrad Haniska","č. 248","Haniska",4457,"haniska@haniska-ke.sk"
"Matrika Štefanov","č. 347","Štefanov",90645,"obecstefanov@stonline.sk"
"Obecný úrad Jarabina","č. 58","Jarabina",6531,"obecjarabina@stonline.sk"
"Obecný úrad Krížová Ves","č. 51","Krížová Ves",5901,"krizovaves@stonline.sk"
"Obecný úrad Oľdza","č. 16","Oľdza",93039,"ou.oldza@stonline.sk"
"Obecný úrad Tesáre","č. 128","Tesáre",95621,"tesare@tesare.sk, sekretariat@tesare.sk"
"Obecný úrad Devičie","č. 13","Devičie",96265,"ocudevicie@gmail.com"
"Obecný úrad Hosťovce","č. 101","Hosťovce",4402,"obechostovce@freemail.hu"
"Obecný úrad Valaliky","Poľná 8","Valaliky",4413,"obec@valaliky.sk"
"Colný úrad Košice, stanica komos Košice","Svätoplukova 18","Košice - Staré Mesto",4002,"cu5691@colnasprava.sk"
"Mestský úrad Giraltovce","Dukelská 75","Giraltovce",8701,"msugiraltovce@stonline.sk"
"Obecný úrad Trenčianske Stankovce","č. 362","Trenčianske Stankovce",91311,"obectrenc.stankovce@stonline.sk"
"Obecný úrad Malý Cetín","č. 105","Malý Cetín",95107,"charizol@wmx.sk"
"Obecný úrad Plešivec","Čsl. armády 1","Plešivec",4911,"obec_plesivec@stonline.sk"
"Matrika Markušovce","Michalská 51","Markušovce",5321,"obecmarkusovce@markusovce.sk"
"Matrika ","Dunajská 41","Číčov",94619,"ocucicov@stonline.sk"
"Obecný úrad Stráňavy","Májová 336","Stráňavy",1325,"stranavy@stranavy.sk, starosta@stranavy.sk"
"Obecný úrad Obeckov","č. 165","Obeckov",99105,"obeckov@orangemail.sk"
"Obecný úrad Oravce","č. 53","Oravce",97633,"obec@oravce.sk"
"Obecný úrad Litmanová","č. 79","Litmanová",6531,"obec@litmanova.sk, oulitmanova@litmanova.sk"
"Obecný úrad Trnava pri Laborci","č. 163","Trnava pri Laborci",7231,"ocu@trnavaprilaborci.sk"
"Obecný úrad Príbovce","č. 184","Príbovce",3842,"ocu@obecpribovce.sk,  starosta@obecpribovce.sk"
"Obecný úrad Čierne nad Topľou","č. 232","Čierne nad Topľou",9434,"ocu.ciernent@stonline.sk"
"Obecný úrad Ladomerská Vieska","č. 132","Ladomerská Vieska",96501,"obec@ladomerskavieska.sk"
"Miestny úrad Bratislava - Lamač","Heyrovského 2","Bratislava - Lamač",84103,"starostka@lamac.sk"
"Knižnica pre mládež mesta Košice ","Tajovského 9","Košice - Staré Mesto",4064,"kmk@nextra.sk, kmk@box.sk"
"Obecný úrad Radvaň nad Laborcom","č. 76","Radvaň nad Laborcom",6701,"obecradovan@stonline.sk"
"Daňový úrad Vráble","Moravská 294","Vráble",95201,"du.vr@nr.drsr.sk"
"Matrika Handlová","Nám. baníkov 7","Handlová",97251,"maria.bonova@handlova.sk, daniela.solcaniova@handlova.sk"
"Univerzitná knižnica Univerzity Konštantína Filozofa","Javorová 12","Nitra",94974,"lib@ukf.sk"
